variance,xmean,mean3839,mean3940,mean4041,mean4142,max,min,range,stdev,dcirohm,dcir_soc00ohm,dcir_soc10ohm,dcir_soc20ohm,dcir_soc30ohm,dcir_soc40ohm,dcir_soc50ohm,dcir_soc60ohm,dcir_soc70ohm,dcir_soc80ohm,deltat023840,deltat103840,ctr,ccct,cvct,soh_label_pct
0.009600061,0.3011281836435026,0.2583822900179812,0.2946441362878162,0.2434118795401581,0.4133406903903364,0.472296174,0.2260024742158508,0.2462937001857121,0.075448945,0.0257777777777778,0.091666667,0.0316666666666668,0.028333333333333,0.026666667,0.028333333333333,0.0300000000000003,0.0250000000000001,0.026666667,0.0249999999999992,4050.0,780.0,0.1925925925925926,2740,466.9499999999998,89.51347797501644
0.0101906815462058,0.3060401191600542,0.2628421657487241,0.3017277472483901,0.2502187726562338,0.4144844699293135,0.4750683176249146,0.2315701204162465,0.243498197208668,0.074130934,0.0267777777777778,0.093333333,0.033333333,0.0283333333333339,0.0283333333333339,0.028333333333333,0.0299999999999995,0.026666667,0.026666667,0.026666667,4030.0,764.9999999999989,0.1898263027295282,2660,476.5999999999999,87.77120315581854
0.0107338692350956,0.3103530747628901,0.2664776779225423,0.3081961754193165,0.256557425,0.4151454568888851,0.4768480403844206,0.236769768295598,0.2400782720888226,0.072616488,0.0275555555555556,0.095,0.033333333,0.0299999999999995,0.028333333333333,0.0300000000000003,0.031666667,0.028333333333333,0.028333333,0.0283333333333339,4010.0,756.6666666666672,0.1886949293433085,2590,476.4000000000001,86.16042077580539
0.0114881302326461,0.3188216498283146,0.27320675022102,0.3191078986162237,0.2683338455557387,0.419432506,0.4797828364324989,0.248071531254022,0.2317113051784769,0.070619985,0.028444444,0.096666667,0.035,0.0316666666666668,0.028333333333333,0.031666667,0.0316666666666668,0.0300000000000003,0.03,0.03,4010.0,746.6666666666672,0.1862011637572736,2530,477.3499999999999,84.87836949375411
0.0133348443545929,0.3369464243436041,0.2863552923093542,0.3400207495480255,0.2956249723321842,0.4302650251919704,0.4938579752810108,0.273038961206246,0.2208190140747647,0.068067466,0.0304431082591994,0.1013333333333331,0.035166667,0.032833333,0.032,0.0339999999999998,0.035166667,0.03166139,0.0311666666666669,0.034166667,3996.190476190476,726.8000000000002,0.1818732125834128,2390,494.0500000000002,82.27481919789614
0.0164894541053369,0.3641516423817326,0.3047170709939252,0.3675678662962335,0.335310520040871,0.45329678848554,0.5214665481182339,0.2998872461693265,0.2215793019489074,0.067461831,0.0325430142423074,0.1066488918513583,0.037,0.035,0.0348275287452087,0.037166667,0.038166667,0.0341666666666651,0.0336666666666668,0.038333333,3989.642857142856,705.5555556,0.1768467957707955,2250,498.1999999999998,79.75345168
0.00707944,0.2909503145261985,0.2390527410159343,0.2848991813716903,0.24334757781066,0.4017036909110937,0.4549881018664314,0.2277852953040615,0.2272028065623699,0.072846601,0.0234444444444444,0.088333333,0.0316666666666668,0.026666667,0.0250000000000001,0.0250000000000001,0.0250000000000001,0.026666667,0.0233333333333336,0.023333333333334,4170.0,810.0,0.1942446043165467,3180,430.1999999999998,100.0
0.008459223,0.290786109,0.247583478705739,0.2804258754473539,0.2327897796068505,0.4077937587615681,0.4629748060910108,0.2173762434180655,0.2455985626729453,0.076197122,0.0242222222222222,0.09,0.0299999999999995,0.026666667,0.0249999999999992,0.0249999999999992,0.026666667,0.0250000000000001,0.0249999999999992,0.023333333,4050.0,794.9999999999991,0.196296296296296,2920,431.5500000000002,93.1818181818182
0.00981302,0.3042459692533844,0.2621844924896839,0.2973491157260541,0.2466229260654158,0.4160702007372417,0.4745995070280022,0.2289980999432701,0.2456014070847321,0.074848784,0.0253333333333333,0.091666667,0.0316666666666668,0.026666667,0.0250000000000001,0.026666667,0.0300000000000003,0.0249999999999992,0.026666667,0.0249999999999992,4030.0,776.6666666666672,0.1927212572373864,2740,470.4000000000001,89.65744401
0.0100716595141645,0.3043148177958448,0.2639494419372634,0.2993367523322092,0.246493567120716,0.4125755185747625,0.4713663264189383,0.2280020023203011,0.2433643240986371,0.073600501,0.0261111111111111,0.091666667,0.033333333,0.026666667,0.026666667,0.028333333333333,0.0300000000000003,0.026666667,0.026666667,0.025,4010.0,770.0,0.1920199501246882,2680,468.25,88.01054018445323
0.0109011460422129,0.3128129093272899,0.2720842301292401,0.3100648260814833,0.2561025416587409,0.4179750449047429,0.4773693447740896,0.2362989942118725,0.2410703505622171,0.072706373,0.0268888888888889,0.095,0.033333333,0.028333333333333,0.0283333333333339,0.0300000000000003,0.0300000000000003,0.026666667,0.026666667,0.028333333,4000.0,763.3333333333344,0.1908333333333336,2600,485.6500000000001,86.56126482213439
0.011484056,0.3186593235862203,0.2770363243610633,0.3175792107821719,0.2638889579143997,0.420992973762247,0.4812566423186566,0.2429972424337538,0.2382593998849027,0.071302848,0.0278888888888889,0.096666667,0.033333333,0.0299999999999995,0.0283333333333339,0.031666667,0.0316666666666668,0.0283333333333339,0.028333333,0.0283333333333339,4000.0,753.3333333333344,0.1883333333333336,2550,485.6999999999998,85.47430830039526
0.01292034,0.3329339087700956,0.2891507013977643,0.3349074626349904,0.2838929386760861,0.4283517329749256,0.4906937914947118,0.2612219940604621,0.2294717974342497,0.068848229,0.0293882467094786,0.0985,0.0336666666666668,0.030994834,0.030333333,0.0325000000000003,0.033327779,0.030333333333333,0.0304949175137476,0.032833333,3980.0000000000064,738.3724138,0.1855207069831916,2440,505.9499999999998,83.44861660079052
0.0141687554306907,0.3427795683827024,0.2974140385250117,0.3476367644286694,0.2957874771548026,0.4347157296248818,0.4996290196075654,0.2735870643009388,0.2260419553066266,0.068018521,0.0305545485743299,0.1013333333333331,0.034166667,0.0325,0.032166667,0.0339999999999998,0.035166667,0.031828029,0.0316666666666668,0.035666667,3975.5,728.1964573268936,0.1831710369329376,2360,506.6999999999998,81.83135704874836
0.006867858,0.2841039391025992,0.2337814388016631,0.2763297369974215,0.2338134677965673,0.3978132939740377,0.4530788736316014,0.2194460406587186,0.2336328329728827,0.07430237,0.0231111111111111,0.088333333,0.0300000000000003,0.0250000000000001,0.0250000000000001,0.023333333,0.026666667,0.026666667,0.0216666666666663,0.023333333333334,4150.0,810.0,0.1951807228915662,3180,426.9000000000001,100.0
0.008575656,0.2911668419228376,0.2485034851989259,0.2807929351283726,0.2311355831146595,0.4097591165307893,0.4670426002515953,0.2155042669957185,0.2515383332558767,0.077313729,0.0238888888888888,0.088333333,0.0300000000000003,0.026666667,0.0250000000000001,0.026666667,0.026666667,0.0250000000000001,0.0250000000000001,0.023333333333334,4050.0,790.0,0.1950617283950617,2900,445.1500000000001,93.00560871
0.009841594,0.3024372578636937,0.2611362173975218,0.2948612994636014,0.2428073107342973,0.4162748516791361,0.4746638628531077,0.2255332845069397,0.2491305783461679,0.076020241,0.0252222222222222,0.09,0.0316666666666668,0.026666667,0.0250000000000001,0.026666667,0.028333333333333,0.026666667,0.026666667,0.025,4010.0,776.6666666666672,0.1936824605153783,2740,466.1999999999998,89.47542065324976
0.009950386,0.2991536706766626,0.2590078498218059,0.2930094545854854,0.2394347598866903,0.4103862630983298,0.4697317225682509,0.2210544464391475,0.2486772761291034,0.075074384,0.0257777777777778,0.09,0.031666667,0.026666667,0.026666667,0.0299999999999995,0.0300000000000003,0.026666667,0.026666667,0.026666667,4000.0,771.6666666666661,0.1929166666666665,2680,467.1999999999998,87.85879248
0.0104871636008615,0.3030526816814665,0.2620105935648545,0.2988887539462238,0.2444354528716754,0.4120150394795038,0.4723013114875636,0.2247858423960111,0.2475154690915524,0.074382197,0.0268888888888889,0.093333333,0.0316666666666668,0.0283333333333339,0.028333333333333,0.0299999999999995,0.0299999999999995,0.026666667,0.0283333333333339,0.026666667,3990.0,763.3333333333333,0.1913116123642439,2610,477.1500000000001,86.44011877268228
0.0115038389442569,0.3157630917011455,0.2725256109708971,0.3135998102152334,0.2597401187205085,0.4222309726392089,0.4809819699592057,0.2400626149142777,0.240919355,0.073219542,0.0276666666666667,0.095,0.033333333,0.0300000000000003,0.0299999999999995,0.0316666666666668,0.031666667,0.028333333333333,0.0283333333333339,0.0283333333333339,3990.0,753.3333333333344,0.1888053467000838,2550,487.5,85.38436159683272
0.0121895390602941,0.3212318579483112,0.2769177833313461,0.3217576467088223,0.2689642952206508,0.4220970713211377,0.4827431683695724,0.2478928309379737,0.2348503374315986,0.071243286,0.0287561830047929,0.097166667,0.032666667,0.0308333333333334,0.030166667,0.0321666666666664,0.033166667,0.0295,0.0291666666666669,0.0311666666666669,3972.499999999998,739.2857142857135,0.1861008720668883,2470,487.9000000000001,83.51369185
0.0132013352040162,0.3307815642832339,0.2845503466979754,0.3306314726250826,0.2827802381690786,0.4298814552629505,0.4927484830197859,0.2607681305199041,0.2319803524998818,0.070524063,0.0297111111111111,0.099,0.0329999999999998,0.0316613897683721,0.0311666666666664,0.033333333,0.034166667,0.0305,0.029833333,0.032666667,3965.7500000000073,732.0689655172424,0.1845978605603583,2400,501.8499999999999,82.32596502804354
